kind,etag,id,content_details_video_id,content_details_video_published_at
youtube#playlistItem,OpM3oPOm7JJflSnWXCYuRc8Y2ns,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLlB5dFEzaUNRQXVr,PytQ3iCQAuk,2021-04-22T04:24:16Z
youtube#playlistItem,sYgVeYm44hFigfeFmsYYjVaNjmc,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLjNOUVlCWWlTR1BJ,3NQYBYiSGPI,2021-04-21T14:00:01Z
youtube#playlistItem,PyiAL0clmxOdUwF4E-A8n71Ikwc,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLlg1a3p2NXMwNno0,X5kzv5s06z4,2021-04-21T04:30:03Z
youtube#playlistItem,n_M3f9mBbWIQJpRRt0NCpIsMeCg,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLmM3N3VNQVNyQjBB,c77uMASrB0A,2021-04-20T04:30:06Z
youtube#playlistItem,uMfT41ecRXTYIV8UeeTqaVb8Wbk,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLkpQWW1LZDlCTElj,JPYmKd9BLIc,2021-04-19T04:19:45Z
youtube#playlistItem,wKjvdivvoeZTDlpePriFhHNOIJg,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLnZia2tPVGNKQmFj,vbkkOTcJBac,2021-04-16T04:30:10Z
youtube#playlistItem,HKCAWnZlfkhF-iIWr6faW7UlkiA,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLlpfZkxrd0dPaGpF,Z_fLkwGOhjE,2021-04-15T04:30:02Z
youtube#playlistItem,XpjooHOHYMN7VDrirgT02cqc0Ag,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLjd0bGRsVnhQMmlN,7tldlVxP2iM,2021-04-14T13:00:02Z
youtube#playlistItem,MlYcrab2eHkHwTyOwnF2DRUYKFM,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLmtla0JjdkdMemFN,kekBcvGLzaM,2021-04-14T04:30:02Z
youtube#playlistItem,tgAIaYw_IfaB0VjIEbOeC55qfuA,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLkJzRzNfNkRDV3V3,BsG3_6DCWuw,2021-04-13T04:30:00Z
youtube#playlistItem,JD_WpfEQ9kR1qQOnzwW41-B5CK0,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLmthNk5BRGhfS2I4,ka6NADh_Kb8,2021-04-12T04:31:03Z
youtube#playlistItem,uhJ8lvekqP0D-RBSsRhpP4mYAys,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLk5LUFd4am5FaXJv,NKPWxjnEiro,2021-04-09T04:23:19Z
youtube#playlistItem,_Y1OBMjbIUQl2JIKxaYiEsqGl0w,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLjhRTHJmRWxJeHFV,8QLrfElIxqU,2021-04-08T04:30:00Z
youtube#playlistItem,o6tB0aNFczjKh0pyrzBg2-rerAA,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLnFvMEktVTJ4RlA4,qo0I-U2xFP8,2021-04-07T14:34:48Z
youtube#playlistItem,d1KpXFVTsJ_akpEFLe5E8hehzD0,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLk50WVQtSEFJMnhj,NtYT-HAI2xc,2021-04-07T04:30:05Z
youtube#playlistItem,iOgg_EGniR6slhyOWpfepitX6K0,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLmY0dmwxNkpqak9R,f4vl16JjjOQ,2021-04-06T04:30:06Z
youtube#playlistItem,zn_wbNkEglUqxkvd1I0xCkDf2mw,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLm5Xb0N3eVJMTk9R,nWoCwyRLNOQ,2021-04-01T04:30:04Z
youtube#playlistItem,IbJ0iPqNSiCj3rTKJwwmf2XZuts,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLmVsZjZnODVkSktZ,elf6g85dJKY,2021-03-31T14:15:02Z
youtube#playlistItem,sA16a4RvxksCPAwKfIjESVcohW0,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLmE0Nzk0ZDVabUZ3,a4794d5ZmFw,2021-03-31T04:30:00Z
youtube#playlistItem,UEdyNTkky4nFUy3s5Ek7nSbaBeA,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLk44RjFucWdSY3h3,N8F1nqgRcxw,2021-03-30T04:32:05Z
youtube#playlistItem,Wgsf8vGY6PDEnvqF8Wgk1TaQtOQ,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLlRwSEh0VncxMl9J,TpHHtVw12_I,2021-03-29T05:09:33Z
youtube#playlistItem,zKHR2SN0aLPmqNQFD9LNTGWjqOU,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLl8xOTVhYWFBOTIw,_195aaaA920,2021-03-26T05:30:03Z
youtube#playlistItem,De6MdO9GB3giRWYWhgAPQFsfucg,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLkVQblhIM1E4U2RF,EPnXH3Q8SdE,2021-03-25T05:33:57Z
youtube#playlistItem,i6yVnA6X40jzhCmJYswmlOvTIAw,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLlp1NXlqTEdxQnRv,Zu5yjLGqBto,2021-03-24T14:32:48Z
youtube#playlistItem,1nGQWlTHAJz9hop1RB5YG8jQBv4,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLjd3QldQbXJyQW04,7wBWPmrrAm8,2021-03-24T05:30:00Z
youtube#playlistItem,ntBFjDb4ShXGXS8k5tNid3HpT44,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLlNzZ1o3Q3l3OGZj,SsgZ7Cyw8fc,2021-03-23T05:30:00Z
youtube#playlistItem,d06SHJwwitxsaBfiFE7FPwLDAqM,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLkhvcF9NZmtYbDdj,Hop_MfkXl7c,2021-03-22T05:26:53Z
youtube#playlistItem,dip9WMbbIIk3wmKua4JkPLI345s,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLjJ2UE94azdNUVRj,2vPOxk7MQTc,2021-03-19T05:30:00Z
youtube#playlistItem,2pIDDMHqpn7aaTSj_DATZTini6o,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLkE3Wnl3TlYyWE1z,A7ZywNV2XMs,2021-03-18T05:30:00Z
youtube#playlistItem,PVY2QWH7vSOMYbXDUroSatheLdc,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLjU2c0M4ZTJmaHBR,56sC8e2fhpQ,2021-03-17T15:37:59Z
youtube#playlistItem,kJyVLdxSu52adSA5KC0yjHuwTZY,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLjdlWmVIeHVZeDMw,7eZeHxuYx30,2021-03-17T05:37:48Z
youtube#playlistItem,Foysb0geUPCW4po-u0TCSEOPtUM,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLjlLd0p0a04ycWV3,9KwJtkN2qew,2021-03-16T05:30:01Z
youtube#playlistItem,V5lE4OUDIqyLrRPqOfixit0ISFY,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLnJpRUNCWWhGS3R3,riECBYhFKtw,2021-03-15T05:30:02Z
youtube#playlistItem,9ANKaYqwPVS-aq81kq-ybJwcrqI,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLjRPTUwxcXdRc2E0,4OML1qwQsa4,2021-03-12T05:30:00Z
youtube#playlistItem,VvZUyyvc634B5Th9gCKE7j1Z88I,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLnNJNDMwSHQ1V2NZ,sI430Ht5WcY,2021-03-11T05:30:02Z
youtube#playlistItem,c3wY-GNidb_o3IE6NltDR8_rbXg,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLkZJVk41SFBZX21r,FIVN5HPY_mk,2021-03-10T10:51:04Z
youtube#playlistItem,U3R0VQs11yFsOiNj3bRBLIIUMjw,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLnBJc3drdW15YmF3,pIswkumybaw,2021-03-10T05:30:02Z
youtube#playlistItem,7umOwJcdF6zoBZWJmWzbhl3JEfw,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLkdKRkFaemJta3N3,GJFAZzbmksw,2021-03-09T06:59:58Z
youtube#playlistItem,ioFU3UUxkEvKm6WsVlryd-t_v5k,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLmN0Z2o2RFZwZzhV,ctgj6DVpg8U,2021-03-08T07:12:06Z
youtube#playlistItem,9njWXhIV337PuDILIEiNARIJP4g,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLjhjaU9PTEZzMzhz,8ciOOLFs38s,2021-03-05T05:30:00Z
youtube#playlistItem,jbn4D2s5_LQs8Lh6cKIttEAIl68,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLjhybTM2Q2ZhcFNr,8rm36CfapSk,2021-03-04T08:14:15Z
youtube#playlistItem,UBNl6mHhNbd4vy9s12l1aNsA3_8,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLkU0QkZ5TG5BSVhN,E4BFyLnAIXM,2021-03-03T11:19:12Z
youtube#playlistItem,6x_7NY-NdU1TrVvqOV1vjv-dB1I,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLk9pZHo1T3dmQjZj,Oidz5OwfB6c,2021-03-03T05:30:01Z
youtube#playlistItem,JP0xzN_LYSKL868U9zxme4U270M,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLmlueTVvdU9oV2R3,iny5ouOhWdw,2021-03-02T05:30:03Z
youtube#playlistItem,rntUPfBimWVifb3rTkiSXA7vqVc,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLnpjN3NESjhYUXFR,zc7sDJ8XQqQ,2021-03-01T05:21:25Z
youtube#playlistItem,riHtY9gcSBRiSvc37pG7w6l88pI,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLnpLVFJZclBHYm9j,zKTRYrPGboc,2021-02-26T05:30:02Z
youtube#playlistItem,A7Q-iianNIgY2RZcnXsPnDXcjX8,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLkJmTnlSUzRXYW1J,BfNyRS4WamI,2021-02-25T05:30:00Z
youtube#playlistItem,6xsyxNW4ElRxFIqHfNnCxM9fEHk,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLkpvbDR0bTZ1V1Fz,Jol4tm6uWQs,2021-02-24T09:49:57Z
youtube#playlistItem,USTod5ZnEQeCIt3WZwKzRayHE20,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLmRyUGV5MG5LX01F,drPey0nK_ME,2021-02-24T05:30:02Z
youtube#playlistItem,Xiyex4kpGcuL4fRg0CapWqENG-E,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLmRWT193aXZqY0hZ,dVO_wivjcHY,2021-02-23T05:41:48Z
youtube#playlistItem,1lHg7mzAj6URKaX7BEi4j-D6ekY,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLl9qS19RMVo3eHdB,_jK_Q1Z7xwA,2021-02-22T05:30:03Z
youtube#playlistItem,qMXxDVRLvlbHTsvh3ywxVosdxG8,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLjJEdnhOdWhSZjBj,2DvxNuhRf0c,2021-02-19T05:30:00Z
